chunk_id,doc_title,section,page_start,page_end,text,source_url
sbdc-tx rd 3.2.08-p043-c02,Texas Roadmap to Starting a Business (SBDC),,43,43,"employer it is now your responsi- bility to report payroll information annually to the Social Security Administration and to your em- ployees. NOTE: Owners of sole proprietorships and partnerships cannot be classified as employees. Owners of corporations can, however, and you should send these forms at the end of the year to the Social Security Administration, not the IRS. Other IRS Forms If you need copies of other IRS forms, call 800/ 829-3676 or visit the IRS website at http:// www.irs.ustreas.gov and if you need tax assistance call 800/829-1040. For hearing impaired call 800/ 829-4059. To order a CD ROM with current year and prior year tax forms call 212/512-1800 or visit http://www.access.gpo.gov/su_docs 42",
sbdc-tx rd 3.2.08-p044-c01,Texas Roadmap to Starting a Business (SBDC),,44,44,"Chapter 7: Financing Options As discussed in Chapter 2, after preparing a pro forma income statement and filling out a cash flow statement, you should know if you need additional funding to pay your business bills. Additional capital can come from private inves- tors or loans. Friends and relatives are also a pos- sible source for funding because they know and believe in you and can be convinced of the worthi- ness of your idea. If you still need money after exhausting this avenue, the two possible sources of capital are: • A traditional commercial loan, or • A bank loan guaranteed by the Small Busi- ness Administration. Working with your Financial Institution Before you get excited about borrowing money, realize that financial institutions are not in the business of taking risks; consequently, they have some conservative and basic guidelines. For ex- ample, a general rule about how much money a financial institution lends is: the owners/investors must supply one-half of the needed capital. What this means is that if your business needs $50,000 in start-up capital, a financial institution expects you to invest at least $25,000. That way the lender knows that you have a great deal to lose if the business fails. Assuming that you and your investors/partners can come up with at least 50 percent of the money, you must then satisfy some common loan criteria. They are known as the Five C’s: Capacity, Collat- eral, Credit, Character and Conditions. Capacity represents the customer’s ability to repay the loan based on the business’ cash flow. Capacity should be demonstrated on a historical (financial statements, tax returns, etc.) and pro- spective (projections) basis. (Start-up businesses obviously don’t have historical information to consider.) Other areas can influence capacity as well, such as the state of the current economy, industry trends and any anticipated industry growth. These factors give credence or add skepti- cism to the projection viability. Collateral is a familiar term. As defined by Webster’s, it is “property pledged by a borrower to protect the interests of the lender.” This covers the gamut from your business’ operational assets (such as accounts receivable, inventory and equipment) Chapter 7: Financing",
sbdc-tx rd 3.2.08-p044-c02,Texas Roadmap to Starting a Business (SBDC),,44,44,"historical information to consider.) Other areas can influence capacity as well, such as the state of the current economy, industry trends and any anticipated industry growth. These factors give credence or add skepti- cism to the projection viability. Collateral is a familiar term. As defined by Webster’s, it is “property pledged by a borrower to protect the interests of the lender.” This covers the gamut from your business’ operational assets (such as accounts receivable, inventory and equipment) Chapter 7: Financing Options 43",
sbdc-tx rd 3.2.08-p045-c01,Texas Roadmap to Starting a Business (SBDC),,45,45,"to certificates of deposit (CDs)—all of which may be used as security against borrowed money. Credit answers the question: Does and will the customer pay bills on time. Lenders normally investigate both the company’s and the owner’s past credit history. Both need to be spotless. If there are blemishes, lessen the impact by warning the loan officer and giving a logical, defendable explanation up-front. No one likes to be surprised with this kind of information. Character may be the most subjective ingredient within the formula. It encompasses the lender’s perceptions and analysis of the borrower’s reputa- tion and integrity, background and experience, and financial sophistication, involvement and persis- tence. Here’s one formula you can count on: Loans are more likely to be made even on marginal transac- tions if the lender believes in the customer. Conditions are the terms of the loan and include: • loan amount, amortization and renewal date if you are seeking a revolving or short-term loan • interest rate (if floating, based on what and adjusted when) • credit policies established by the financial institution. For example, advances on ac- counts receivable may not exceed 75 percent of the current amount receivables balance (those less than 60 days old). To help the lender evaluate your Five C’s, you should prepare a loan request that builds an objec- tive case as to why your business will succeed. It should also offer a logical reason as to why the lender should make the loan. Your business plan is a good starting place. It gives an in-depth explanation of your business and why it will be successful. Discuss the type or types of financing you need. Assets such as cash, ac- counts receivable, and inventory should be fi- nanced with short term debt. Assets such as equip- ment, vehicles, and real estate should be financed with long term debt. A term note is most often 1 to 7 years of length and requires monthly payments of principle and interest. Financing cash and inventory with long term debt increases your interest expense, and financing high dollar amount equipment on a line of credit makes your monthly payments of principle and",
sbdc-tx rd 3.2.08-p045-c02,Texas Roadmap to Starting a Business (SBDC),,45,45,"cash, ac- counts receivable, and inventory should be fi- nanced with short term debt. Assets such as equip- ment, vehicles, and real estate should be financed with long term debt. A term note is most often 1 to 7 years of length and requires monthly payments of principle and interest. Financing cash and inventory with long term debt increases your interest expense, and financing high dollar amount equipment on a line of credit makes your monthly payments of principle and interest very large. To give a logical reason for making the loan, describe how you will use the loan proceeds. The Loan Request Package Your loan request should also describe how you will repay the lender. This is best illustrated with current financial statements and projections. Your loan request package should include balance sheets and income statements for the past three years, company tax returns and your personal financial statement. If you are starting a business, you should create pro forma financial statements (projected balance sheet and income statements) for at least three full years of operation. When forecasting a pro forma financial statement for an existing company or a projection for a new company, you should show the business’ breakeven point (as discussed in Chapter 2). Your request can also gain credibility if you prepare best- and worst-case scenarios. This shows the lender that you have considered all aspects of your loan request. Supporting documentation for the pro forma financial statement or projections will also help. Your loan request should also include: • articles of incorporation, bylaws, corporate resolutions, partnership agreements and/or assumed name certificates • resumes of business’ owners and managers • business plan • current financial statements for the past 90 44",
sbdc-tx rd 3.2.08-p045-c03,Texas Roadmap to Starting a Business (SBDC),,45,45,for the past 90 44,
sbdc-tx rd 3.2.08-p046-c01,Texas Roadmap to Starting a Business (SBDC),,46,46,"days and the past three fiscal years • tax returns for the past three years • a clear description of the loan’s intended purpose • a list of the company’s assets and debts and a list of assets that can be used as collateral • current financial statements of any related businesses in which the business owners are involved • owner’s financial statements and those of anyone who is guaranteeing the loan • list of the top three major customers or prospective customers • list of at least three current suppliers and three current creditors or credit references • appraisals on fixed assets and real estate • photographs of the operating facility and major equipment • copies of current contracts • accounts receivable aging for all accounts receivable, noting any potential bad debts • listing and valuation of any inventory listed on financial statements. NOTE: The less information the lender must ask for, the more “character” (Five C’s) you earn. Environmental issues are a growing concern, and many financial institutions expect you to address the disposal of environmentally sensitive products or waste. This is especially true when real estate is involved. If you default on the loan and the lender takes over property, the lender may not only become responsible for its clean-up, but also may be held liable for damages associated with the contamination. After you assemble the supporting paperwork, tie the loan package together with a cover letter. This letter should be a synopsis of the loan request and basically propose the transaction to the lender. Clearly state your plans and how this loan will allow you to succeed. Now you are ready to make appointments with financial institutions. Don’t choose just one lender. Talk to several. Remember, when selecting your lender, you are also selecting your banker. You want to choose a banker you are comfortable with and who has the products and services you need for your business. Don’t be discouraged if the first banker turns you down. If you have a start-up business or a young company, many lenders may be uncomfort- able with your loan proposal. Most likely, you will have to contact several",
sbdc-tx rd 3.2.08-p046-c02,Texas Roadmap to Starting a Business (SBDC),,46,46,"institutions. Don’t choose just one lender. Talk to several. Remember, when selecting your lender, you are also selecting your banker. You want to choose a banker you are comfortable with and who has the products and services you need for your business. Don’t be discouraged if the first banker turns you down. If you have a start-up business or a young company, many lenders may be uncomfort- able with your loan proposal. Most likely, you will have to contact several lenders before you find one that meets your needs. SBA Guaranteed Loans A bank loan guaranteed by the U.S. Small Business Administration is similar to a traditional commercial loan. Both loans are processed and funded by and repaid to financial institutions, but they differ in that the government guarantees repayment of some percentage of an SBA loan. If the debtor defaults on an SBA loan, the govern- ment pays the guaranteed portion after liquidating the assets you pledged. An SBA loan gives the bank a second source of repayment. However, the financial institution often uses the same or similar loan criteria for both SBA loans and traditional commercial bank loans. A financial institution avoids making loans without collateral. The borrower must have a good idea, good credit and a demonstrated ability to repay the loan. With an SBA loan, however, a financial institution may relax some portion of its lending criteria. For example, the financial institu- tion may offer a longer term for an SBA guaran- teed loan. 45",
sbdc-tx rd 3.2.08-p047-c01,Texas Roadmap to Starting a Business (SBDC),,47,47,"A financial institution may recommend a loan to the SBA if the business has had an irregular earning pattern. An SBA loan may also be recommended when a business’ collateral differs from what the institution normally lends against or if the amount of equity in the company is less than the lending institution’s typical criteria for granting the re- quested loan amount. An SBA guaranteed loan is advantageous for the financial institution because it does not count against its reserve requirement. As a result, the financial institution can make more SBA loans than traditional commercial loans. It is important to understand, SBA guaranteed loans are not government grants or giveaway programs. Financial institutions recommend the loans and the SBA approves them. Two approvals must be received before the SBA loan can close— one from the financial institution and one from the SBA. Other Financing Resources Many counties and cities in Texas have funding sources that may be available to you. Your eligibil- ity for these funds depends on many variables, such as your business’ size, industry and the products you produce or services you provide. For more information, contact your local county or city officials or the local chamber of commerce. Lists of sources of capital U.S. Small Business Administration Regional Office Phone: 800/827-5722 Department of Agriculture Phone: 202/720/2791 1400 Independence Ave. SW Washington, DC 20250 www.usda.gov www.rerdev.usda.gov www.usda.gov/mission.rd.htm Texas Department of Agriculture Texas Agricultural Finance Authority Phone 877/428/7848 Mailing Address: P.O. Box 12847 Austin, TX 78711 http://www.agr.state.tx.us Type of Program: Linked Deposit Program, Young Farmer Loan Guarantee Program, Farm and Ranch Program, Rural Develop- ment Finance Program and the Rural Devel- opment Finance Program: Municipal Finance Option. EX-IM BANK Southwest 1880 South Dairy Ashford II, Suite 585 Houston, TX 77077 Phone 281/721-0465 Fax 281/679-0156 www.exim.gov Type of Program: Export-related working capital loans Venture Capital There are several directories of institutional venture capital firms in the United States and the types of investments they seek. One or more of these may be available at your local library. Ex- amples of these are Pratt’s Venture Capital Guide published by Venture Economics Inc. and the Venture Capital Directory published by Online Publishing.",
sbdc-tx rd 3.2.08-p047-c02,Texas Roadmap to Starting a Business (SBDC),,47,47,"Southwest 1880 South Dairy Ashford II, Suite 585 Houston, TX 77077 Phone 281/721-0465 Fax 281/679-0156 www.exim.gov Type of Program: Export-related working capital loans Venture Capital There are several directories of institutional venture capital firms in the United States and the types of investments they seek. One or more of these may be available at your local library. Ex- amples of these are Pratt’s Venture Capital Guide published by Venture Economics Inc. and the Venture Capital Directory published by Online Publishing. Private Investors The network listed below provides a cost-effective method for small businesses to gain exposure for their business investment opportuni- ties. It is composed of investors seeking opportuni- ties in small businesses in Texas. The Capital Network 3925 West Braker Ln., Suite 406 Austin, Texas 78759 Phone 512/305-0826 Fax 512/305-0826 www.thecapitalnetwork.com 46",
sbdc-tx rd 3.2.08-p048-c01,Texas Roadmap to Starting a Business (SBDC),,48,48,"Chapter 8: Tax Responsibilities One of the responsibilities of starting or operat- ing a business is determining the type of taxes your business should pay. Many federal, state and local taxing authorities exist and you should consult with several agencies to obtain complete informa- tion. This booklet cannot present an entire list of potential taxes, but a summary of major state and federal organizations and key taxes is presented below. Local taxes are not addressed because each locale holds different taxing requirements. To clearly understand your tax liabilities, call taxing authorities in your area. Federal Federal Income Tax. Every business must file an annual return with the Internal Revenue Service. Separate forms or schedules apply depending on the type of business. The IRS has excellent, easy to read publications to help you understand the tax system. For more information call the local offices listed in your phone book or 800/829-1040. Federal Self-Employment Tax. This tax applies to self-employed workers and is their contribution to Social Security. It is generally paid by sole proprietors, self-employed farmers and members of a partnership. Explanatory publications are avail- able from the IRS. Federal Employment Taxes. Any business that has employees usually pays these taxes. They include federal income tax withholding, social security (FICA), Medicare taxes and federal unem- ployment taxes (FUTA). The IRS has specific rules, regulations and guidelines regarding the collection and payment of these taxes. When contacting the IRS, ask for Publication 15, Circular E (Employer’s Tax Guide) and Publication 15-A Employer’s Supplemental Tax Guide. Federal Excise Taxes. These taxes are collected from manufacturers and sellers of certain products. Several common taxes include environmental taxes on crude, petroleum products and certain chemi- cals; taxes on telephone communications and air transportation; fuel taxes on gasoline, diesel and gasohol; and taxes on certain luxury items, alcohol, tobacco and guns. Ask the IRS for a complete list of excise taxes and specific information and litera- ture. Tax identification number. Each business requires a tax identification number. This number should appear on all federal business tax returns. Instructions for acquiring a tax identification number are given in Chapter 4 under the heading of “Additional Legal Paperwork.”",
sbdc-tx rd 3.2.08-p048-c02,Texas Roadmap to Starting a Business (SBDC),,48,48,"cals; taxes on telephone communications and air transportation; fuel taxes on gasoline, diesel and gasohol; and taxes on certain luxury items, alcohol, tobacco and guns. Ask the IRS for a complete list of excise taxes and specific information and litera- ture. Tax identification number. Each business requires a tax identification number. This number should appear on all federal business tax returns. Instructions for acquiring a tax identification number are given in Chapter 4 under the heading of “Additional Legal Paperwork.” Chapter 8: Tax Responsibilities 47",
sbdc-tx rd 3.2.08-p049-c01,Texas Roadmap to Starting a Business (SBDC),,49,49,"State State Sales Tax. Most products and many services are subject to sales tax. Each business must collect the tax and file a sales tax return on a regular basis. To obtain a sales tax permit and filing information, contact: Comptroller of Public Accounts LBJ State Office Building 111 East 17th Street Austin, Texas 78714 The comptroller also has offices in major cities Call 800/ 252-5555 for more information. State Franchise Tax. A state franchise tax applies to all corporations with representation in Texas. The tax is calculated based on taxable capital assets and taxable earned surplus, paying the greater of the two. To obtain information, contact the comp- troller of public accounts listed above. Unemployment Tax. Most businesses in Texas are liable for state and federal unemployment tax based on a formula that uses employee wages as a key factor. Start-up entrepreneurs should contact the TWC for state reporting requirements and the Internal Revenue Service for federal information. Local All business owners, regardless of the company’s legal form, should contact their local County Appraisal District soon after beginning operations. Most businesses will be liable for taxes on both personal and real property. The taxes are assessed by individual taxing units (county, city, school district, etc.) based on information maintained by the appraisal district. If your county does not have an appraisal district, contact various local taxing units. Independent Certified Public Accountants Assistance A certified public accountant can be a great resource to the small business person. CPA’s can prepare all federal, state, and local tax returns required by the government. CPA’s can also help with bookkeeping services to ensure that you pay the lowest required income and payroll taxes. Businesses that have difficulties paying taxes can receive expert, professional advice on how to become current on tax liabilities. Based on your business plan, CPA’s can estimate your future payroll and income taxes, as well as your personal tax liability. Taxes affect your cash flow significantly and thus to truly control your business finances, tax planning is very important. IRS Workshops In addition to assistance from its local office, the IRS sponsors tax workshops to help the self-employed and the",
sbdc-tx rd 3.2.08-p049-c02,Texas Roadmap to Starting a Business (SBDC),,49,49,"Businesses that have difficulties paying taxes can receive expert, professional advice on how to become current on tax liabilities. Based on your business plan, CPA’s can estimate your future payroll and income taxes, as well as your personal tax liability. Taxes affect your cash flow significantly and thus to truly control your business finances, tax planning is very important. IRS Workshops In addition to assistance from its local office, the IRS sponsors tax workshops to help the self-employed and the small business owner. The workshops explain how federal taxes relate to individual businesses. Topics include: • an overview of the IRS and the kinds of information and help it provides small busi- nesses. • an orientation to business taxes and how to identify the relationship between business organizations and federal taxes. • a discussion of record keeping with an emphasis on the importance of tracing business income and expenses. • an in-depth review of the employer’s respon- sibility for withholding income, social secu- rity and federal unemployment taxes, and a discussion of the appropriate tax returns. • how to deposit federal taxes using Federal Tax Deposit Coupons. • employer-employee relationship. For more information regarding these work- shops, call or write the office below: Houston 8701 S. Gessner Stop 6610H-AL Houston, Texas 77074 Phone 281/721-7070 or 800/829-3676 48",
sbdc-tx rd 3.2.08-p050-c01,Texas Roadmap to Starting a Business (SBDC),,50,50,"The UH SBDC Network serves 32 counties in Southeast Texas. The UH SBDC Network is a program of the UH CT Bauer College of Business and a resource partner of the US Small Business Administration. Funded in part through a cooperative agreement with th e U.S. Small Business Administration. All opinions, conclusions or recommendations expressed are those of the author(s) and do not n ecessarily reflect the views of the SBA. SBDC programs are nondiscriminatory and available to individuals with disabilities. The Universit y of Houston is an EEO/AA institution. Reasonable accommodations for persons with disabilities will be made if requested at least two weeks in advance. Directory of Services 1 University of Houston Small Business Development Center 713/752-8400 www.sbdc.uh.edu SPECIALTY ASSISTANCE Government Procurement Procurement Technical Assistance Center 713/752-8477 SBDC Network 2 Angelina College SBDC, Lufkin 936/633-5400 www.angelina.edu/sbdc/cs 3 Blinn College SBDC, Brenham 979/830-4137 www.blinn.edu/sbdc 4 Brazos Valley SBDC, Bryan/ College Station 979/260-5222 www.bvsbdc.org 5 Brazosport College SBDC, Lake Jackson 979/230-3380 www.brazosportcollegesbdc.com 6 Galveston County SBDC 409/933-1414 www.gcsbdc.com 7 Lamar University SBDC, Beaumont 409/880-2367 www.lamar.edu/sbdc 8 Lamar State College SBDC, Port Arthur 409/984-6531 www.portarthur.com/sbdc 9 Lee College SBDC, Baytown 281/425-6309 www.lee.edu/sbdc 10 University of Houston Coastal Plains SBDC Matagorda and Wharton Counties 979/244-8466 11 Lone Star College System SBDC 832/813-6673 www.sbdc.lonestar.edu 12 Sam Houston State University SBDC, Huntsville 936/294-3737 www.shsu.edu/~sbd_www/ 13 San Jacinto College SBDC, East Harris and Northern Brazoria Counties 281/485-5214 www.sanjac.edu/sbdc 14 University of Houston Fort Bend SBDC 281/499-9787 15 Prairie View A&M University SBDC 936/261-9242 www.wallercountysbdc.org",
smallbusinesshandbook-p001-c01,Governor’s Small Business Handbook,,1,1,THE GOVERNOR’S SMALL BUSINESS HANDBOOK,
smallbusinesshandbook-p002-c01,Governor’s Small Business Handbook,,2,2,"2 | GOVERNOR’S SMALL BUSINESS HANDBOOK This handbook is intended to provide general guidance and assistance to those interested in developing or further expanding their business in Texas and beyond. It is not intended to be construed or relied upon as legal, accounting, or other professional services or advice. Every effort has been made to make this publication as complete as possible, but by no means can all subject matters, rules, regulations, and resources involved in commerce be covered in one document. Please be aware that the information contained herein is subject to change without notice. If uncertain as to how to proceed on any given matter, legal or other professional services should be sought. This handbook was created with substantial assistance from many resources outside and inside the Office of the Governor. Every effort was made to accurately source these tools and other tools that are available to small businesses in Texas. For additional copies of this handbook, or for additional information on any of the topics covered, please call 512-936-0100. The Governor’s Office of Economic Development and Tourism P .O. Box 12428 Austin, Texas 78711-2428 Telephone: 512-936-0100 Fax: 512-936-0080 www.texaswideopenforbusiness.com www.governor.state.tx.us Disclaimer Contact us | INTRODUCTION",
smallbusinesshandbook-p003-c01,Governor’s Small Business Handbook,,3,3,"GOVERNOR’S SMALL BUSINESS HANDBOOK | 3 Page 4 A Letter from the Small Business Team 5 Preparation: Writing a Business Plan 7 How to Start a Business in Texas: Overview and Registration 8 Business Entity Formation & Registration 18 Guide to Status Terminology Used by the Secretary of State 21 Business Filings and Trademarks Fee Schedule 26 Tax Responsibilities 28 Licenses, Permits, and Employer Requirements 30 Insurance Requirements 37 Texas Workforce Commission: Business Solution Programs 39 Unemployment Tax 41 Small Business Development Centers 46 Veterans Resources 54 Financing: Overview & Lenders 73 Financing: State Programs 76 Financing: Local Incentives 78 Financing: Federal Programs & Grants 86 Interesting Facts About the Texas Economy and Small Business 89 Texas Procurement and Support Services (TPASS) 90 State of Texas HUB Certification and Eligibility 92 Small Business Certifications (SBE/DBE/WBE): Program Overview 98 Index: State Business Licenses and Permits by Business Type 124 Index: Federal and State Agency Contact Information Table of Contents INTRODUCTION |",
smallbusinesshandbook-p004-c01,Governor’s Small Business Handbook,,4,4,"4 | GOVERNOR’S SMALL BUSINESS HANDBOOK Small businesses are an important part of the state’s mission in helping keep Texas a very business-friendly, fair, dynamic and flourishing economy — one of the best, healthiest and fastest-growing in the country. Small businesses are the backbone of our state and nation, and through collaborations with organizations like yours we help ensure that they remain a top priority and focal point of the public and private sector. We hope that this handbook will provide a resourceful foundation, inspire new ideas and expanded connections, and encourage the inception, growth and prosperity of small businesses in and around your community. This handbook has been compiled to provide business owners and entrepreneurs with the information and knowledge necessary to start or grow a small business in Texas. It contains information from various state agencies to give you a straightforward approach to your new or existing business. From registering your business to obtaining your HUB certification, this resource has been produced to demystify the process of doing business in Texas. In addition to utilizing this information, consider attending a Governor’s Small Business Forum. With more than 20 forums across the state, the Governor’s Small Business Forums are instrumental in providing information to businesses in the region. These events offer information on financing, social media, government contracting, incentives on hiring veterans, and many more facets of business. On behalf of the Governor’s Office, we wish you continued success in all of your endeavors and your enterprises. Best wishes, The Governor’s Small Business Team Letter from the Small Business Team | INTRODUCTION",
smallbusinesshandbook-p005-c01,Governor’s Small Business Handbook,,5,5,"GOVERNOR’S SMALL BUSINESS HANDBOOK | 5 Creating a comprehensive business plan is an important process. The idea of writing a busi- ness plan may not seem important, however, it ultimately serves many important purposes. It will serve to outline the main purpose of your business, its structure, its financing, and its ad- vantages over other market competitors. A solid business plan can be used as a framework for your company’s mission and serves as support when it comes time to apply for financing. Here are some notes about what can be included in a Business Plan: Business Name Executive Summary: Description of the product or service that your company will sell; to whom the product or service will be sold to; how much this will cost; and how long it will take to become profitable. Keep it simple. Business set-up and structure: Description of the company’s business, legal, and leadership structure. Follow this by a discussion of the company’s management approach, hiring pro- cess, office and equipment needs. Include a list of the necessary licenses and permits that will be obtained. Strategic Financial Plan: Outline of how much money the business will need and where the support will come from. Include a breakdown of the monthly budget and cash flow for the first year. Include detailed information on the current market and projected customer de- mands; pricing strategy; available financial support; anticipated financial support; costs asso- ciated with development, production, office space, employee salaries, equipment purchase, etc.; anticipated timeline for marketing; goals for profitability. *If your business is seeking fi- nancing then you will probably be asked to provide income statements demonstrating sound financial accountability. Provide a stated goal for when the company will be profitable and what the return on the investment will be. Development and regulatory process outline: Provide a time frame demonstrating the time it will take to build, produce, and generate the business. Include breakdown of any risk and explain why and how that will be overcome. PREPARATION: Writing a Business Plan INTRODUCTION |",
smallbusinesshandbook-p005-c02,Governor’s Small Business Handbook,,5,5,"when the company will be profitable and what the return on the investment will be. Development and regulatory process outline: Provide a time frame demonstrating the time it will take to build, produce, and generate the business. Include breakdown of any risk and explain why and how that will be overcome. PREPARATION: Writing a Business Plan INTRODUCTION |",
smallbusinesshandbook-p006-c01,Governor’s Small Business Handbook,,6,6,"6 | GOVERNOR’S SMALL BUSINESS HANDBOOK Marketing Plan: Provide information regarding the ideal customer; how the ideal customer will be reached; and when this will occur. Provide information on the pricing strategy and why consumers will buy the product or service. Provide an overview of how marketing and outreach will serve to promote your business so that consumers become a reality. Explain how the product will be marketed so to demonstrate a competitive edge over the other similar product or service providers in the industry. Explain the expenses involved in marketing the product and services. Biographies of all of the people on the team that demonstrates their education, experience, skills, and expertise are in line with the business’s mission. Launch and delivery plan: Discuss where the business is going. Inform readers of how in- vestors will get money out of the business, and what the rate of return on the investment will eventually look like. Include discussion of whether the company could eventually be taken public, and what would be at risk. | INTRODUCTION",
smallbusinesshandbook-p007-c01,Governor’s Small Business Handbook,,7,7,"GOVERNOR’S SMALL BUSINESS HANDBOOK | 7 In business, there are no guarantees. There is simply no way to eliminate all the risks associated with starting a small business but you can improve your chances of success with good planning, preparation, and insight. In Texas, small businesses continue to thrive due to a variety of factors including our excellent geographic location, our highly skilled workforce, our low tax burden, our reasonable cost of living, our predictable regulatory environment, and our legacy of being Wide Open for Business. Starting a business in Texas requires you to complete a number of basic steps and make some key decisions. As part of your overall plan, you’ll need to select a location, decide on a business structure, obtain the necessary licenses and permits, and determine which financing options will meet your needs and goals. The following steps are a basic process for starting a new business. Additional forms and information are provided in the index. Please note that new business owners should not hesitate to seek the guidance of a professional tax consultant, accountant, and/or attorney to help verify that all legal requirements are met before operating a business. Step 1: Business Structure and Name Determine the legal structure of the business and properly file the business name with the state and/or county. Step 2: Tax Responsibilities Determine the potential tax responsibilities of the new business on the federal, state, and local level. Step 3: Business Licenses and Permits Determine necessary licenses, permits, certifications, registrations, and/or authoriza - tions for a specific business on the federal, state, and local level. Step 4: Business Employer Requirements Determine federal and state employer requirements. There are various laws relating to employment of personnel. How to Start a Business in Texas INTRODUCTION |",
smallbusinesshandbook-p007-c02,Governor’s Small Business Handbook,,7,7,relating to employment of personnel. How to Start a Business in Texas INTRODUCTION |,
smallbusinesshandbook-p008-c01,Governor’s Small Business Handbook,,8,8,"8 | GOVERNOR’S SMALL BUSINESS HANDBOOK SELECTING A BUSINESS ENTITY FORMATION AND REGISTERING WITH THE TEXAS SECRETARY OF STATE (if necessary): Determining which business structure is right for a business is an important decision. The information in this section provides an overview of the most commonly utilized for-profit business structures. (Disclaimer: For the most current and accurate information on business entity formations, contact the Texas Secretary of State). SOLE PROPRIETORSHIP: A sole proprietorship is the most common and simplest form of business structure. A sole proprietorship exists when a single individual who owns all of the business’s assets engages in business activity without the necessity of having to have a formal organization. A sole proprietor is personally liable for all debts and liabilities. Under a sole proprietorship, there are no legal distinctions between personal debts and business debts, and there is no requirement to file a separate federal income tax return. Business ownership is nontransferable in that an individual cannot transfer his tax identification number to another person or entity- a new tax identification number will be required. For similar reasons, the life of the business is limited to the life of the sole proprietor. A sole proprietorship is often operated under the name of the owner. If a sole proprietorship conducts business under a name other than the surname of the individual owner, then it is necessary to file an “Assumed Name Certificate” (commonly referred to as a “DBA certificate”) with the office of the county clerk where a business premises is maintained. If no business premise is maintained, then an assumed name certificate should be filed in all counties where business is conducted under the assumed name. More information available on registration of an assumed name certificate with your local county clerk’s office in the following pages. Sole proprietorships are not subject to state franchise tax. 1 FOR PROFIT CORPORATION: A corporation is a legal person with the characteristics of limited liability, centralization of management, perpetual duration, and ease of transferability of ownership interests. The owners of a corporation are called “shareholders.” STEP ONE: Business Entity Formation and Registration | STEP ONE 1 Unless single member LLC is",
smallbusinesshandbook-p008-c02,Governor’s Small Business Handbook,,8,8,"information available on registration of an assumed name certificate with your local county clerk’s office in the following pages. Sole proprietorships are not subject to state franchise tax. 1 FOR PROFIT CORPORATION: A corporation is a legal person with the characteristics of limited liability, centralization of management, perpetual duration, and ease of transferability of ownership interests. The owners of a corporation are called “shareholders.” STEP ONE: Business Entity Formation and Registration | STEP ONE 1 Unless single member LLC is filing as a sole proprietor for federal income tax purposes.",
smallbusinesshandbook-p009-c01,Governor’s Small Business Handbook,,9,9,"GOVERNOR’S SMALL BUSINESS HANDBOOK | 9 The persons who manage the business and affairs of a corporation are called “directors”.1 A For-Profit Corporation must register with the Texas Secretary of State. Choosing the best management structure for your corporation, should you pursue this formation, is a decision you should make under the advisement of an attorney. Please note that what is referred to as an “S” corporation is not a matter of state corporate law, but rather a federal tax election. A for-profit corporation elects to be taxed as an “S” corporation by filing for this status with the Internal Revenue Service. Please contact the IRS and/or competent tax counsel regarding the decision to elect to file as an “S” corporation for federal tax purposes. This is not a matter that is handled by the Texas Governor’s Office.2 Corporations are subject to a state franchise tax. The filing fee for a certificate of formation for a for-profit corporation is $300. PROFESSIONAL CORPORATION: A professional corporation is a corporation that is formed for the purpose of providing a professional service, which a typical corporation is prohibited from rendering by law. A “professional service” means any type of service that requires, as a condition precedent to the rendering of the service, the obtaining of a license in this state, as well as registration with the Texas Secretary of State.3 Only a professional individual licensed to practice the same professional service as is provided by the professional corporation may be a governing person or managerial official of a professional corporation. Also note that a professional corporation cannot be formed for the practice of medicine.4 If the purpose of the entity is to provide medical services, the professional may form either a professional association or a professional limited liability company. Professional corporations are subject to a state franchise tax. The filing fee for a professional corporation is $300. PROFESSIONAL ASSOCIATION : A professional association is a professional entity formed for the purpose of providing professional services rendered by a doctor of 1 However, state corporate law does provide for shareholders to enter into shareholders’ agreements to eliminate the directors and provide for shareholder management.",
smallbusinesshandbook-p009-c02,Governor’s Small Business Handbook,,9,9,"medical services, the professional may form either a professional association or a professional limited liability company. Professional corporations are subject to a state franchise tax. The filing fee for a professional corporation is $300. PROFESSIONAL ASSOCIATION : A professional association is a professional entity formed for the purpose of providing professional services rendered by a doctor of 1 However, state corporate law does provide for shareholders to enter into shareholders’ agreements to eliminate the directors and provide for shareholder management. 2 A for-profit corporation is governed by titles 1 and 2 of the Texas Business Organizations Code. Title 1, chapter 3, subchapter A, of the Texas Business Organizations Code governs the formation of a for-profit corporation and sets forth the provisions required or permitted to be contained in the certificate of formation. 3 A professional corporation is governed by title 1, Chapters 20 and 21 of Title 2, and Chapters 301 and 303 of Title 7 of the Texas Business Organizations Code. Title 1, Chapter 3, Subchapter A of the Texas Business Organizations Code governs the formation of a professional corporation and sets forth the provisions required or permitted to be contained in the certificate of formation. Title 7, chapter 301 establishes certain restrictions and requirements regarding ownership and management of a professional corporation. 4 Texas Business Organizations Code § 301.003(3) STEP ONE |",
